"758","zpart_bf1a","24","female","bachelor degree","no","yes","no","yes_able","20"
"759","zpart_06df","62","female","bachelor degree","no","no","no","yes_able","23"
"760","zpart_c89d","62","female","some college","no","no","no","yes_able","29"
"762","zpart_815497","21","female","high-school diploma","no","no","no","not_able","32"
"763","zpart_fc99a1","22","male","some college","no","no","no","yes_able","17"
"766","zpart_a4d5","37","female","bachelor degree","no","yes","no","yes_able","21"
"767","zpart_e66e","29","male","bachelor degree","no","yes","no","yes_able","15"
"769","zpart_004079","23","male","bachelor degree","yes","yes","no","yes_able","16"
"770","zpart_4c12","32","female","high-school diploma","yes","no","no","yes_able","16"
"771","zpart_c3beee","28","male","bachelor degree","no","yes","no","yes_able","23"
"772","zpart_3dfbc6","30","male","some college","no","no","no","yes_able","44"
"775","zpart_cb8f0f","40","female","bachelor degree","no","no","no","yes_able","16"
"776","zpart_e549","38","female","some college","no","no","no","yes_able","29"
"779","zpart_e99f78","20","female","some college","no","no","no","yes_able","21"
"780","zpart_3a9a","42","male","some college","no","no","no","yes_able","19"
"783","zpart_3e0a","30","female","bachelor degree","no","no","no","yes_able","37"
"789","zpart_8c64d5","29","female","masters degree","no","no","no","yes_able","15"
"790","zpart_398994","40","male","some college","no","no","no","yes_able","18"
"817","zpart_a3ea","22","female","high-school diploma","no","no","no","yes_able","15"
"818","zpart_672ae6","26","male","some college","no","no","no","yes_able","29"
"819","zpart_6856","33","female","doctoral degree","yes","yes","no","yes_able","17"
"822","zpart_c5ab","30","female","masters degree","no","yes","no","yes_able","20"
"823","zpart_a3c727","52","female","masters degree","no","yes","no","yes_able","22"
"824","zpart_b77529","30","female","bachelor degree","no","no","no","yes_able","17"
"827","zpart_b9ad","33","male","bachelor degree","no","no","no","yes_able","19"
"828","zpart_0fab","37","female","some college","no","no","no","yes_able","37"
"831","zpart_a4a4","57","male","bachelor degree","no","yes","no","yes_able","75"
"833","zpart_325b","51","female","some college","no","no","no","yes_able","30"
"834","zpart_9fc5","65","male","doctoral degree","no","no","no","yes_able","36"
"836","zpart_505fbd","31","female","some college","no","no","no","yes_able","18"
